carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
18473,bmw, 6 Series,2020,Semi-Auto,11,Diesel,145,53.3282,3
15064,bmw, 6 Series,2019,Semi-Auto,10813,Diesel,145,53.0430,3
18268,bmw, 6 Series,2020,Semi-Auto,6,Diesel,145,53.4379,3
18480,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145,51.5140,3
18492,bmw, 6 Series,2015,Automatic,62953,Diesel,160,51.4903,3
17089,bmw, 6 Series,2017,Semi-Auto,20643,Diesel,145,51.3358,3
13342,bmw, 6 Series,2013,Semi-Auto,54483,Diesel,160,51.4219,3
14659,bmw, 6 Series,2016,Automatic,32449,Diesel,160,51.6433,3
13739,bmw, 6 Series,2017,Automatic,31328,Diesel,145,51.8007,3
16234,bmw, 6 Series,2012,Automatic,50319,Diesel,160,51.5976,3
18846,bmw, 6 Series,2013,Automatic,58024,Diesel,160,51.4970,3
12319,bmw, 6 Series,2017,Semi-Auto,25975,Diesel,160,51.0497,3
14487,bmw, 6 Series,2016,Semi-Auto,24600,Diesel,160,50.9882,3
15424,bmw, 6 Series,2016,Automatic,43525,Diesel,160,51.3567,3
15439,bmw, 6 Series,2017,Semi-Auto,6245,Diesel,145,51.6122,3
15884,bmw, 6 Series,2017,Semi-Auto,9769,Diesel,145,51.4179,3
15475,bmw, 6 Series,2016,Semi-Auto,21050,Diesel,160,51.6014,3
18692,bmw, 6 Series,2012,Automatic,27352,Diesel,160,51.4289,3
14465,bmw, 6 Series,2016,Automatic,41963,Diesel,160,51.5536,3
12172,bmw, 6 Series,2017,Automatic,14400,Diesel,160,51.2312,3
14416,bmw, 6 Series,2017,Automatic,18000,Diesel,145,51.7344,3
17112,bmw, 6 Series,2014,Automatic,29178,Diesel,160,50.7987,3
13936,bmw, 6 Series,2014,Automatic,27782,Diesel,160,50.3883,3
15995,bmw, 6 Series,2015,Automatic,22797,Diesel,160,49.6824,3
16138,bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160,49.6861,3
19035,bmw, 6 Series,2017,Automatic,39890,Diesel,145,49.4307,3
14621,bmw, 6 Series,2018,Semi-Auto,21525,Diesel,145,49.3944,3
12358,bmw, 6 Series,2015,Automatic,72720,Diesel,160,49.5005,3
16931,bmw, 6 Series,2016,Automatic,27483,Diesel,200,49.5984,3
12140,bmw, 6 Series,2014,Automatic,59295,Diesel,160,49.2898,3
13571,bmw, 6 Series,2017,Automatic,35357,Diesel,205,49.6350,3
18270,bmw, 6 Series,2015,Semi-Auto,46659,Diesel,160,49.7735,3
19093,bmw, 6 Series,2015,Semi-Auto,26797,Diesel,160,49.7606,3
16576,bmw, 6 Series,2017,Automatic,26000,Diesel,145,49.3456,3
18771,bmw, 6 Series,2018,Semi-Auto,10250,Diesel,145,49.8596,3
15540,bmw, 6 Series,2017,Semi-Auto,23451,Diesel,200,49.3397,3
16332,bmw, 6 Series,2017,Automatic,25338,Diesel,200,49.6762,3
18737,bmw, 6 Series,2013,Automatic,52635,Diesel,160,49.4167,3
19380,bmw, 6 Series,2016,Automatic,45360,Diesel,200,49.6658,3
18887,bmw, 6 Series,2013,Automatic,62068,Diesel,160,49.3124,3
19391,bmw, 6 Series,2016,Automatic,43483,Diesel,200,49.8338,3
13022,bmw, 6 Series,2016,Automatic,34000,Diesel,200,49.5162,3
18428,bmw, 6 Series,2015,Semi-Auto,37175,Diesel,160,49.4564,3
16928,bmw, 6 Series,2015,Semi-Auto,51412,Diesel,160,49.3479,3
15591,bmw, 6 Series,2014,Semi-Auto,45012,Diesel,165,49.5261,3
14057,bmw, 6 Series,2016,Semi-Auto,39950,Diesel,205,49.6576,3
12016,bmw, 6 Series,2016,Semi-Auto,25596,Diesel,200,49.6799,3
13673,bmw, 6 Series,2018,Semi-Auto,21525,Diesel,150,49.5937,3
14571,bmw, 6 Series,2014,Automatic,67476,Diesel,160,49.5949,3
16607,bmw, 6 Series,2016,Automatic,62156,Diesel,200,49.4769,3
16905,bmw, 6 Series,2017,Automatic,28062,Diesel,145,48.9487,3
16988,bmw, 6 Series,2019,Semi-Auto,16935,Diesel,145,48.3140,3
18413,bmw, 6 Series,2020,Semi-Auto,1237,Diesel,145,44.0720,2
16752,bmw, 6 Series,2020,Semi-Auto,11,Petrol,145,42.5783,2
15948,bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145,43.0888,2
16019,bmw, 6 Series,2020,Semi-Auto,6,Petrol,145,42.7768,2
13538,bmw, 6 Series,2020,Semi-Auto,5,Petrol,145,42.9643,2
14816,bmw, 6 Series,2020,Semi-Auto,101,Petrol,145,42.6428,2
18441,bmw, 6 Series,2019,Semi-Auto,2500,Petrol,150,42.4358,2
16506,bmw, 6 Series,2019,Semi-Auto,6081,Diesel,150,41.7547,2
14093,bmw, 6 Series,2010,Automatic,92642,Diesel,260,40.8098,3
17202,bmw, 6 Series,2008,Automatic,94000,Diesel,305,39.4496,3
19119,bmw, 6 Series,2016,Automatic,19411,Petrol,260,37.2042,3
19464,bmw, 6 Series,2017,Automatic,23954,Petrol,260,36.7285,3
18872,bmw, 6 Series,2015,Automatic,40517,Petrol,260,36.0707,3
12072,bmw, 6 Series,2019,Semi-Auto,1125,Petrol,145,34.2948,3
18021,bmw, 6 Series,2017,Automatic,17942,Petrol,145,32.3122,4.4
12313,bmw, 6 Series,2016,Automatic,17264,Petrol,325,32.5201,4.4
17212,bmw, 6 Series,2017,Automatic,11541,Petrol,145,30.9581,4.4
16689,bmw, 6 Series,2005,Automatic,84000,Petrol,305,24.5837,4.4
19617,bmw, 7 Series,2017,Semi-Auto,34024,Hybrid,0,128.1478,2
15355,bmw, 7 Series,2017,Automatic,20671,Diesel,125,57.5233,3
12132,bmw, 7 Series,2016,Automatic,34000,Diesel,125,57.8629,3
18470,bmw, 7 Series,2017,Automatic,25014,Diesel,145,57.6063,3
15825,bmw, 7 Series,2017,Semi-Auto,25050,Diesel,145,57.2833,3
