hi_int_prncp_pd,out_prncp_inv,loan_amnt,int_rate,term
0,0,15000,15.61,60
0,0,18000,18.06,60
1,9099.27,20000,11.99,60
0,0,10000,7.07,36
0,0,14000,19.48,60
0,0,15000,12.99,36
0,0,3000,7.26,36
1,2824.63,9000,11.49,36
0,17978.39,20000,12.13,60
1,10022.34,11000,16.14,36
1,9807.57,18000,18.25,60
0,0,12000,13.44,60
0,0,8400,14.65,36
0,8799.39,30000,14.99,36
0,2793.73,8000,13.49,36
0,0,12000,7.89,36
1,13671.02,24000,13.99,60
0,0,22000,13.99,60
0,14750.39,30000,12.62,36
0,0,24000,24.49,60
0,0,27000,20.99,60
0,0,3500,16.99,36
1,15014.05,20000,16.02,60
0,0,8000,13.49,36
0,12986.22,15000,16.91,60
0,7347.12,40000,7.99,36
0,0,24000,16.99,60
1,36557.02,40000,13.06,60
1,18539.55,22250,26.3,60
0,0,12000,14.52,36
0,0,6425,11.39,36
0,13206.28,21000,23.99,60
0,13070.86,24000,11.99,36
0,0,2800,12.99,36
1,22096.23,35000,13.49,60
1,9550.33,10000,14.47,36
0,0,35000,18.25,60
0,13061.22,16800,10.07,36
0,0,18075,25.44,60
0,0,4000,10.78,36
0,10088.21,24000,10.42,36
0,3060.23,5000,7.97,36
0,1598.02,8400,10.99,36
0,0,19250,12.49,36
0,0,20000,16.99,36
0,8788.64,15000,9.93,36
0,0,25000,7.62,36
0,0,3000,16.99,36
0,0,18000,12.99,60
0,0,10000,11.99,36
1,24661.9,28000,19.42,60
0,0,28325,17.99,36
1,7299.29,18600,24.74,36
0,0,6000,6.49,36
1,23099.96,24000,11.55,60
0,1269.96,4000,7.99,36
1,29308.6,30000,14.47,60
0,0,10000,8.18,36
0,0,10000,12.62,36
0,10980.64,12500,10.08,36
0,1878.73,15000,9.16,36
0,7348.35,24000,7.89,60
0,0,6000,13.33,36
0,0,20000,6.39,36
0,0,30000,12.99,36
1,6772.37,24000,14.65,60
0,2710.14,7000,7.49,36
1,1060.44,4200,11.39,36
0,0,35000,17.76,36
0,0,5000,12.29,36
0,0,24000,14.31,60
0,0,8850,14.46,36
0,0,21600,16.99,36
0,6596.76,10000,6.08,36
0,0,30000,10.99,36
1,7495.58,25000,7.24,36
0,8464.55,21000,12.29,60
1,4160.43,10000,8.38,60
0,0,3500,22.9,36
1,2828.57,10000,11.44,36
0,0,5200,10.99,36
0,0,20000,10.64,60
1,11473.85,12000,16.14,36
0,0,21000,12.99,36
0,0,10000,12.69,36
0,0,14000,8.99,36
1,26359.72,30000,9.58,60
1,9313.39,28000,15.99,36
1,19458.37,21000,19.42,60
0,0,10000,6.92,36
0,13627.23,18000,11.98,36
0,0,20000,17.27,60
0,17197.85,19200,16.01,60
0,9792.97,16000,7.97,36
0,0,10400,20,36
0,0,12000,17.99,60
1,18160.66,25000,16.99,60
0,1924.01,4800,11.39,36
0,0,15000,15.61,60
1,18589.08,20000,11.8,36
0,0,28000,6.24,36
0,0,12000,7.99,36
0,0,21000,12.85,36
0,0,6500,7.26,36
1,39040.73,40000,12.98,60
1,7942.74,10000,9.93,60
0,8289.25,12000,7.35,36
1,14920.5,19200,12.62,60
0,900,1450,10.42,36
1,5149.4,17600,12.69,60
0,0,2400,8.18,36
0,0,24000,16.55,36
0,1425.94,1500,8.19,36
0,8406.22,30000,10.49,36
0,0,12000,6.92,36
0,0,12000,7.97,36
0,2209.94,11200,10.99,36
0,1238.03,2000,9.93,36
0,0,8000,7.97,36
0,598.23,10000,5.32,36
1,10021.59,25000,11.39,36
0,0,9000,15.1,36
0,3650.92,5000,20,36
0,416.31,40000,11.06,60
0,0,23325,16.29,60
0,0,4500,18.06,36
