age,education,day,month,y
42,primary,15,may,no
37,secondary,20,jun,no
32,secondary,17,apr,no
53,primary,28,jul,yes
32,tertiary,2,jun,no
28,secondary,18,may,no
41,secondary,31,jul,no
36,secondary,19,may,no
44,secondary,12,may,no
28,secondary,30,jan,no
35,secondary,2,jun,no
50,tertiary,8,jan,no
31,secondary,21,nov,no
55,secondary,29,jul,no
31,tertiary,4,feb,no
44,secondary,7,may,no
36,tertiary,13,may,no
70,tertiary,6,feb,no
37,secondary,18,jun,no
30,secondary,18,may,no
49,primary,9,may,no
35,secondary,30,jul,no
37,tertiary,20,nov,no
32,secondary,18,nov,no
44,secondary,7,jul,no
63,secondary,14,aug,yes
31,secondary,4,oct,no
29,secondary,14,may,yes
38,tertiary,8,jul,no
53,tertiary,17,nov,no
30,tertiary,14,dec,no
30,secondary,28,may,no
32,secondary,20,apr,no
35,secondary,7,may,no
28,tertiary,27,may,no
39,secondary,18,nov,no
56,primary,17,jul,no
32,tertiary,14,oct,yes
37,unknown,23,sep,yes
29,unknown,28,may,no
51,unknown,29,may,no
38,secondary,11,may,no
40,secondary,21,may,no
34,secondary,2,jun,no
48,tertiary,27,aug,no
29,unknown,4,jun,no
60,secondary,16,mar,yes
43,primary,14,may,no
30,secondary,24,jul,no
56,secondary,15,may,no
38,secondary,7,may,no
28,secondary,25,may,yes
45,secondary,9,feb,no
56,secondary,20,may,no
32,secondary,17,apr,no
36,secondary,5,jun,no
34,secondary,13,aug,no
55,tertiary,23,jul,no
40,secondary,16,jul,no
48,secondary,17,nov,no
34,primary,7,jul,no
39,primary,6,may,no
51,secondary,5,jun,no
48,secondary,28,jan,no
52,tertiary,7,may,no
26,tertiary,29,jan,no
47,unknown,19,may,no
43,secondary,25,may,yes
57,secondary,25,aug,no
36,tertiary,27,aug,no
54,secondary,7,may,no
27,secondary,24,jul,no
40,secondary,17,nov,no
29,primary,11,jul,no
41,tertiary,21,nov,no
37,tertiary,28,may,no
29,tertiary,9,may,no
46,primary,20,apr,no
53,tertiary,30,jul,no
33,tertiary,30,apr,no
50,tertiary,20,nov,no
54,secondary,6,jun,no
59,primary,16,jun,no
37,tertiary,6,aug,no
37,tertiary,6,may,no
36,tertiary,17,jun,no
43,secondary,12,aug,yes
33,unknown,8,may,no
37,tertiary,7,sep,yes
52,tertiary,7,jul,no
32,secondary,31,jul,no
34,tertiary,5,feb,no
33,tertiary,18,nov,no
37,tertiary,26,aug,no
29,tertiary,28,jul,no
36,primary,29,may,no
44,primary,19,may,no
32,tertiary,21,may,no
54,primary,21,nov,no
29,secondary,14,jul,no
31,secondary,31,jul,no
36,tertiary,22,jul,no
49,secondary,31,jul,no
51,primary,8,may,no
47,unknown,7,may,no
27,secondary,21,may,no
36,tertiary,8,aug,no
47,secondary,30,jan,no
52,tertiary,30,may,no
53,secondary,16,may,no
56,secondary,13,may,no
40,secondary,18,may,no
40,secondary,20,nov,no
27,secondary,30,may,no
36,secondary,7,may,no
39,tertiary,24,sep,no
38,secondary,23,may,no
44,unknown,30,jul,no
37,primary,6,may,no
38,secondary,29,may,no
75,primary,4,feb,yes
43,primary,12,may,no
22,secondary,9,may,no
31,secondary,16,jul,no
32,secondary,27,may,no
38,tertiary,4,feb,no
30,secondary,28,may,no
31,secondary,8,aug,no
33,tertiary,4,feb,no
53,tertiary,22,feb,yes
45,secondary,15,may,no
54,tertiary,21,dec,yes
42,unknown,18,may,no
35,secondary,21,may,no
31,primary,24,jul,no
72,primary,28,aug,no
67,secondary,8,feb,yes
44,primary,23,jul,no
30,tertiary,15,may,no
34,primary,13,may,no
36,secondary,13,may,no
43,secondary,21,nov,no
31,secondary,20,aug,no
28,secondary,30,jan,no
36,tertiary,15,may,no
34,secondary,29,aug,no
40,primary,19,jun,no
36,primary,11,jun,no
36,secondary,8,may,no
31,secondary,1,jul,no
32,secondary,28,jul,no
53,tertiary,28,jan,no
44,secondary,16,feb,yes
55,tertiary,5,may,no
50,tertiary,20,apr,no
30,primary,15,jul,yes
38,tertiary,15,may,no
51,secondary,5,may,no
60,secondary,2,jun,no
31,secondary,15,jul,no
43,tertiary,28,aug,no
22,secondary,19,may,no
48,secondary,20,apr,no
59,tertiary,29,jul,no
25,secondary,14,jul,no
29,secondary,17,jul,no
56,tertiary,29,jan,no
31,secondary,7,may,no
34,tertiary,21,may,no
50,primary,6,jun,no
53,secondary,21,nov,no
37,secondary,21,aug,no
30,tertiary,7,may,no
42,unknown,2,jun,no
39,unknown,12,jun,no
50,primary,2,jul,no
40,secondary,21,nov,no
30,primary,16,apr,no
46,secondary,18,nov,no
49,primary,18,may,no
42,secondary,5,feb,yes
36,secondary,16,apr,yes
54,secondary,14,may,no
50,tertiary,18,dec,yes
49,secondary,29,aug,no
28,secondary,20,apr,no
51,primary,13,sep,no
49,secondary,26,may,no
48,tertiary,12,jun,yes
47,primary,30,apr,yes
46,primary,21,nov,no
43,secondary,19,may,no
47,unknown,13,may,no
60,tertiary,28,aug,no
23,secondary,14,may,no
26,secondary,29,jan,no
43,secondary,17,jul,no
44,secondary,15,jul,no
45,tertiary,11,jun,no
32,unknown,20,may,no
54,tertiary,5,aug,no
29,secondary,17,apr,no
35,tertiary,16,oct,no
31,secondary,20,oct,no
31,tertiary,7,jul,no
60,primary,1,apr,yes
